epoch,accuracy,loss,val_accuracy,val_loss
0,0.781000018119812,0.5782933831214905,0.8587499856948853,0.34777066111564636
1,0.8640000224113464,0.33405277132987976,0.8949999809265137,0.28718501329421997
2,0.8799999952316284,0.2892324924468994,0.8349999785423279,0.40279248356819153
3,0.906499981880188,0.23837849497795105,0.8987500071525574,0.24603191018104553
4,0.9164999723434448,0.20570749044418335,0.8762500286102295,0.3522351384162903
5,0.9279999732971191,0.1942477822303772,0.8812500238418579,0.370491623878479
6,0.9340000152587891,0.17463453114032745,0.8774999976158142,0.4884932339191437
7,0.9390000104904175,0.17116481065750122,0.9024999737739563,0.2917223870754242
8,0.9524999856948853,0.13152238726615906,0.8987500071525574,0.3415263891220093
9,0.9449999928474426,0.13423606753349304,0.9049999713897705,0.34414616227149963
